index,pos,driver,gap,time remaining
1,1,Lewis,- -,00:09:55
1,2,Valtteri,- -,00:09:55
1,3,Max,- -,00:09:55
1,4,Lance,- -,00:09:55
1,5,Pierre,- -,00:09:55
1,6,Carlos,- -,00:09:55
1,7,Sergio,- -,00:09:55
1,8,Charles,- -,00:09:55
1,9,Alexander,- -,00:09:55
1,10,Lando,- -,00:09:55
1,11,Sebastian,- -,00:09:55
1,12,Daniil,- -,00:09:55
1,13,Daniel,- -,00:09:55
1,14,Kimi,- -,00:09:55
1,15,Esteban,- -,00:09:55
1,16,Kevin,- -,00:09:55
1,17,Romain,- -,00:09:55
1,18,George,- -,00:09:55
1,19,Nicholas,- -,00:09:55
1,20,Antonio,- -,00:09:55
2,1,Lewis,- -,00:09:52
2,2,Valtteri,- -,00:09:52
2,3,Max,- -,00:09:52
2,4,Lance,- -,00:09:52
2,5,Pierre,- -,00:09:52
2,6,Carlos,- -,00:09:52
2,7,Sergio,- -,00:09:52
2,8,Charles,- -,00:09:52
2,9,Alexander,- -,00:09:52
2,10,Lando,- -,00:09:52
2,11,Sebastian,- -,00:09:52
2,12,Daniil,- -,00:09:52
2,13,Daniel,- -,00:09:52
2,14,Kimi,- -,00:09:52
2,15,Esteban,- -,00:09:52
2,16,Kevin,- -,00:09:52
2,17,Romain,- -,00:09:52
2,18,George,- -,00:09:52
2,19,Nicholas,- -,00:09:52
2,20,Antonio,- -,00:09:52
3,1,Lewis,- -,00:09:49
3,2,Valtteri,- -,00:09:49
3,3,Max,- -,00:09:49
3,4,Lance,- -,00:09:49
3,5,Pierre,- -,00:09:49
3,6,Carlos,- -,00:09:49
3,7,Sergio,- -,00:09:49
3,8,Charles,- -,00:09:49
3,9,Alexander,- -,00:09:49
3,10,Lando,- -,00:09:49
3,11,Sebastian,- -,00:09:49
3,12,Daniil,- -,00:09:49
3,13,Daniel,- -,00:09:49
3,14,Kimi,- -,00:09:49
3,15,Esteban,- -,00:09:49
3,16,Kevin,- -,00:09:49
3,17,Romain,- -,00:09:49
3,18,George,- -,00:09:49
3,19,Nicholas,- -,00:09:49
3,20,Antonio,- -,00:09:49
4,1,Lewis,- -,00:09:46
4,2,Valtteri,- -,00:09:46
4,3,Max,- -,00:09:46
4,4,Lance,- -,00:09:46
4,5,Pierre,- -,00:09:46
4,6,Carlos,- -,00:09:46
4,7,Sergio,- -,00:09:46
4,8,Charles,- -,00:09:46
4,9,Alexander,- -,00:09:46
4,10,Lando,- -,00:09:46
4,11,Sebastian,- -,00:09:46
4,12,Daniil,- -,00:09:46
4,13,Daniel,- -,00:09:46
4,14,Kimi,- -,00:09:46
4,15,Esteban,- -,00:09:46
4,16,Kevin,- -,00:09:46
4,17,Romain,- -,00:09:46
4,18,George,- -,00:09:46
4,19,Nicholas,- -,00:09:46
4,20,Antonio,- -,00:09:46
5,1,Lewis,- -,00:09:42
5,2,Valtteri,- -,00:09:42
5,3,Max,- -,00:09:42
5,4,Lance,- -,00:09:42
5,5,Pierre,- -,00:09:42
5,6,Carlos,- -,00:09:42
5,7,Sergio,- -,00:09:42
5,8,Charles,- -,00:09:42
5,9,Alexander,- -,00:09:42
5,10,Lando,- -,00:09:42
5,11,Sebastian,- -,00:09:42
5,12,Daniil,- -,00:09:42
5,13,Daniel,- -,00:09:42
5,14,Kimi,- -,00:09:42
5,15,Esteban,- -,00:09:42
5,16,Kevin,- -,00:09:42
5,17,Romain,- -,00:09:42
5,18,George,- -,00:09:42
5,19,Nicholas,- -,00:09:42
5,20,Antonio,- -,00:09:42
6,1,Lance,- -,00:09:40
6,2,Lewis,- -,00:09:40
6,3,Valtteri,- -,00:09:40
6,4,Max,- -,00:09:40
6,5,Pierre,- -,00:09:40
6,6,Carlos,- -,00:09:40
6,7,Sergio,- -,00:09:40
6,8,Charles,- -,00:09:40
6,9,Alexander,- -,00:09:40
6,10,Lando,- -,00:09:40
6,11,Sebastian,- -,00:09:40
6,12,Daniil,- -,00:09:40
6,13,Daniel,- -,00:09:40
6,14,Kimi,- -,00:09:40
6,15,Esteban,- -,00:09:40
6,16,Kevin,- -,00:09:40
6,17,Romain,- -,00:09:40
6,18,George,- -,00:09:40
6,19,Nicholas,- -,00:09:40
6,20,Antonio,- -,00:09:40
7,1,Lance,- -,00:09:36
7,2,Lewis,- -,00:09:36
7,3,Valtteri,- -,00:09:36
7,4,Max,- -,00:09:36
7,5,Pierre,- -,00:09:36
7,6,Carlos,- -,00:09:36
7,7,Sergio,- -,00:09:36
7,8,Charles,- -,00:09:36
7,9,Alexander,- -,00:09:36
7,10,Lando,- -,00:09:36
7,11,Sebastian,- -,00:09:36
7,12,Daniil,- -,00:09:36
7,13,Daniel,- -,00:09:36
7,14,Kimi,- -,00:09:36
7,15,Esteban,- -,00:09:36
7,16,Kevin,- -,00:09:36
7,17,Romain,- -,00:09:36
7,18,George,- -,00:09:36
7,19,Nicholas,- -,00:09:36
7,20,Antonio,- -,00:09:36
8,1,Lance,- -,00:09:33
8,2,Lewis,- -,00:09:33
8,3,Valtteri,- -,00:09:33
8,4,Max,- -,00:09:33
8,5,Pierre,- -,00:09:33
8,6,Carlos,- -,00:09:33
8,7,Sergio,- -,00:09:33
8,8,Charles,- -,00:09:33
8,9,Alexander,- -,00:09:33
8,10,Lando,- -,00:09:33
8,11,Sebastian,- -,00:09:33
8,12,Daniil,- -,00:09:33
8,13,Daniel,- -,00:09:33
8,14,Kimi,- -,00:09:33
8,15,Esteban,- -,00:09:33
8,16,Kevin,- -,00:09:33
8,17,Romain,- -,00:09:33
8,18,George,- -,00:09:33
8,19,Nicholas,- -,00:09:33
8,20,Antonio,- -,00:09:33
9,1,Lance,- -,00:09:30
9,2,Sergio,- -,00:09:30
9,3,Lewis,- -,00:09:30
9,4,Valtteri,- -,00:09:30
9,5,Max,- -,00:09:30
9,6,Pierre,- -,00:09:30
9,7,Carlos,- -,00:09:30
9,8,Charles,- -,00:09:30
9,9,Alexander,- -,00:09:30
9,10,Lando,- -,00:09:30
9,11,Sebastian,- -,00:09:30
9,12,Daniil,- -,00:09:30
9,13,Daniel,- -,00:09:30
9,14,Kimi,- -,00:09:30
9,15,Esteban,- -,00:09:30
9,16,Kevin,- -,00:09:30
9,17,Romain,- -,00:09:30
9,18,George,- -,00:09:30
9,19,Nicholas,- -,00:09:30
9,20,Antonio,- -,00:09:30
10,1,Lance,- -,00:09:27
10,2,Sergio,- -,00:09:27
10,3,Lewis,- -,00:09:27
10,4,Valtteri,- -,00:09:27
10,5,Max,- -,00:09:27
10,6,Pierre,- -,00:09:27
10,7,Carlos,- -,00:09:27
10,8,Charles,- -,00:09:27
10,9,Alexander,- -,00:09:27
10,10,Lando,- -,00:09:27
10,11,Sebastian,- -,00:09:27
10,12,Daniil,- -,00:09:27
10,13,Daniel,- -,00:09:27
10,14,Kimi,- -,00:09:27
10,15,Esteban,- -,00:09:27
10,16,Kevin,- -,00:09:27
10,17,Romain,- -,00:09:27
10,18,George,- -,00:09:27
10,19,Nicholas,- -,00:09:27
10,20,Antonio,- -,00:09:27
11,1,Lance,- -,00:09:24
11,2,Sergio,- -,00:09:24
11,3,Lewis,- -,00:09:24
11,4,Valtteri,- -,00:09:24
11,5,Max,- -,00:09:24
11,6,Pierre,- -,00:09:24
11,7,Carlos,- -,00:09:24
11,8,Charles,- -,00:09:24
11,9,Alexander,- -,00:09:24
11,10,Lando,- -,00:09:24
11,11,Sebastian,- -,00:09:24
11,12,Daniil,- -,00:09:24
11,13,Daniel,- -,00:09:24
11,14,Kimi,- -,00:09:24
11,15,Esteban,- -,00:09:24
11,16,Kevin,- -,00:09:24
11,17,Romain,- -,00:09:24
11,18,George,- -,00:09:24
11,19,Nicholas,- -,00:09:24
11,20,Antonio,- -,00:09:24
12,1,Lance,- -,00:09:20
12,2,Carlos,- -,00:09:20
12,3,Sergio,- -,00:09:20
12,4,Lewis,- -,00:09:20
12,5,Valtteri,- -,00:09:20
12,6,Max,- -,00:09:20
12,7,Pierre,- -,00:09:20
12,8,Charles,- -,00:09:20
12,9,Alexander,- -,00:09:20
12,10,Lando,- -,00:09:20
12,11,Sebastian,- -,00:09:20
12,12,Daniil,- -,00:09:20
12,13,Daniel,- -,00:09:20
12,14,Kimi,- -,00:09:20
12,15,Esteban,- -,00:09:20
12,16,Kevin,- -,00:09:20
12,17,Romain,- -,00:09:20
12,18,George,- -,00:09:20
12,19,Nicholas,- -,00:09:20
12,20,Antonio,- -,00:09:20
13,1,Lance,- -,00:09:17
13,2,Carlos,- -,00:09:17
13,3,Sergio,- -,00:09:17
13,4,Lewis,- -,00:09:17
13,5,Valtteri,- -,00:09:17
13,6,Max,- -,00:09:17
13,7,Pierre,- -,00:09:17
13,8,Charles,- -,00:09:17
13,9,Alexander,- -,00:09:17
13,10,Lando,- -,00:09:17
13,11,Sebastian,- -,00:09:17
13,12,Daniil,- -,00:09:17
13,13,Daniel,- -,00:09:17
13,14,Kimi,- -,00:09:17
13,15,Esteban,- -,00:09:17
13,16,Kevin,- -,00:09:17
13,17,Romain,- -,00:09:17
13,18,George,- -,00:09:17
13,19,Nicholas,- -,00:09:17
13,20,Antonio,- -,00:09:17
14,1,Valtteri,- -,00:09:13
14,2,Lance,- -,00:09:13
14,3,Carlos,- -,00:09:13
14,4,Sergio,- -,00:09:13
14,5,Lewis,- -,00:09:13
14,6,Max,- -,00:09:13
14,7,Pierre,- -,00:09:13
14,8,Charles,- -,00:09:13
14,9,Alexander,- -,00:09:13
14,10,Lando,- -,00:09:13
14,11,Sebastian,- -,00:09:13
14,12,Daniil,- -,00:09:13
14,13,Daniel,- -,00:09:13
14,14,Kimi,- -,00:09:13
14,15,Esteban,- -,00:09:13
14,16,Kevin,- -,00:09:13
14,17,Romain,- -,00:09:13
14,18,George,- -,00:09:13
14,19,Nicholas,- -,00:09:13
14,20,Antonio,- -,00:09:13
15,1,Valtteri,- -,00:09:10
15,2,Lance,- -,00:09:10
15,3,Carlos,- -,00:09:10
15,4,Sergio,- -,00:09:10
15,5,Alexander,- -,00:09:10
15,6,Lewis,- -,00:09:10
15,7,Max,- -,00:09:10
15,8,Pierre,- -,00:09:10
15,9,Charles,- -,00:09:10
15,10,Lando,- -,00:09:10
15,11,Sebastian,- -,00:09:10
15,12,Daniil,- -,00:09:10
15,13,Daniel,- -,00:09:10
15,14,Kimi,- -,00:09:10
15,15,Esteban,- -,00:09:10
