index,pos,driver,gap,lap no
9,19,Kimi,+10.335,1
9,20,Sebastian,+11.686,1
10,1,Valtteri,LEADER,1
10,2,Lewis,+0.788,1
10,3,Max,+2.119,1
10,4,Nico,+2.944,1
10,5,Lance,+3.593,1
10,6,Daniel,+4.495,1
10,7,Pierre,+5.199,1
10,8,Charles,+5.933,1
10,9,Lando,+6.145,1
10,10,Alexander,+6.277,1
10,11,Carlos,+6.493,1
10,12,Esteban,+7.237,1
10,13,Kevin,+7.724,1
10,14,Daniil,+8.309,1
10,15,Antonio,+8.885,1
10,16,Romain,+8.908,1
10,17,Nicholas,+10.271,1
10,18,George,+10.486,1
10,19,Kimi,+10.658,1
10,20,Sebastian,+11.634,1
11,1,Valtteri,LEADER,1
11,2,Lewis,+0.988,1
11,3,Max,+2.119,1
11,4,Nico,+2.944,1
11,5,Lance,+3.593,1
11,6,Daniel,+4.495,1
11,7,Pierre,+5.199,1
11,8,Charles,+5.984,1
11,9,Lando,+6.184,1
11,10,Alexander,+6.831,1
11,11,Carlos,+7.037,1
11,12,Esteban,+7.720,1
11,13,Kevin,+8.191,1
11,14,Daniil,+8.969,1
11,15,Antonio,+9.400,1
11,16,Romain,+9.489,1
11,17,Nicholas,+10.271,1
11,18,George,+10.486,1
11,19,Kimi,+10.658,1
11,20,Sebastian,+11.893,1
12,1,Valtteri,LEADER,2
12,2,Lewis,+1.001,2
12,3,Max,+2.452,2
12,4,Nico,+3.292,2
12,5,Lance,+4.009,2
12,6,Daniel,+4.795,2
12,7,Pierre,+5.567,2
12,8,Charles,+6.562,2
12,9,Lando,+6.184,2
12,10,Alexander,+6.831,2
12,11,Carlos,+7.037,2
12,12,Esteban,+7.720,2
12,13,Kevin,+8.191,2
12,14,Daniil,+9.086,2
12,15,Antonio,+9.522,2
12,16,Romain,+9.600,2
12,17,Nicholas,+10.468,2
12,18,George,+11.184,2
12,19,Kimi,+11.675,2
12,20,Sebastian,+12.214,2
13,1,Valtteri,LEADER,2
13,2,Lewis,+1.001,2
13,3,Max,+2.452,2
13,4,Nico,+3.292,2
13,5,Lance,+4.028,2
13,6,Daniel,+4.840,2
13,7,Pierre,+5.567,2
13,8,Charles,+6.562,2
13,9,Lando,+7.031,2
13,10,Alexander,+7.573,2
13,11,Carlos,+7.037,2
13,12,Esteban,+7.720,2
13,13,Kevin,+8.191,2
13,14,Daniil,+9.086,2
13,15,Antonio,+9.522,2
13,16,Romain,+9.600,2
13,17,Nicholas,+10.468,2
13,18,George,+11.184,2
13,19,Kimi,+11.675,2
13,20,Sebastian,+12.214,2
14,1,Valtteri,LEADER,2
14,2,Lewis,+1.091,2
14,3,Max,+2.366,2
14,4,Nico,+3.246,2
14,5,Lance,+4.021,2
14,6,Daniel,+4.928,2
14,7,Pierre,+5.571,2
14,8,Charles,+6.408,2
14,,Lando,+6.753,2
14,10,Alexander,+7.437,2
14,11,Carlos,+7.964,2
14,12,Esteban,+8.574,2
14,13,Kevin,+9.034,2
14,14,Daniil,+9.669,2
14,15,Antonio,+10.749,2
14,16,Romain,+10.922,2
14,17,Nicholas,+11.106,2
14,18,George,+12.077,2
14,19,Kimi,+12.273,2
14,20,Sebastian,+12.882,2
15,1,Valtteri,LEADER,2
15,2,Lewis,+1.006,2
15,3,Max,+2.480,2
15,4,Nico,+3.479,2
15,5,Lance,+4.299,2
15,6,Daniel,+5.171,2
15,7,Pierre,+5.957,2
15,8,Lando,+6.748,2
15,9,Alexander,+6.918,2
15,10,Charles,+7.580,2
15,11,Carlos,+8.162,2
15,12,Esteban,+8.861,2
15,13,Kevin,+9.402,2
15,14,Daniil,+9.902,2
15,15,Antonio,+10.871,2
15,16,Romain,+11.185,2
15,17,George,+11.525,2
15,18,Nicholas,+12.207,2
15,19,Kimi,+12.436,2
15,20,Sebastian,+12.923,2
16,1,Valtteri,LEADER,2
16,2,Lewis,+0.973,2
16,3,Max,+2.525,2
16,4,Nico,+3.538,2
