index,pos,driver,gap,lap no
11,2,Valtteri,- -,1
11,3,Max,- -,1
11,4,Sergio,- -,1
11,5,Lance,- -,1
11,6,Alexander,- -,1
11,7,Carlos,- -,1
11,8,Lando,- -,1
11,9,Charles,- -,1
11,10,Pierre,- -,1
11,11,Sebastian,- -,1
11,12,Daniil,- -,1
11,13,Daniel,- -,1
11,14,Kimi,- -,1
11,15,Esteban,- -,1
11,16,Kevin,- -,1
11,17,Romain,- -,1
11,18,George,- -,1
11,19,Nicholas,- -,1
11,20,Antonio,- -,1
12,1,Lewis,LEADER,1
12,2,Valtteri,- -,1
12,3,Max,- -,1
12,4,Sergio,- -,1
12,5,Lance,- -,1
12,6,Alexander,- -,1
12,7,Carlos,- -,1
12,8,Lando,- -,1
12,9,Charles,- -,1
12,10,Pierre,- -,1
12,11,Sebastian,- -,1
12,12,Daniil,- -,1
12,13,Daniel,- -,1
12,14,Kimi,- -,1
12,15,Esteban,- -,1
12,16,Kevin,- -,1
12,17,Romain,- -,1
12,18,George,- -,1
12,19,Nicholas,- -,1
12,20,Antonio,- -,1
13,1,Lewis,LEADER,1
13,2,Valtteri,- -,1
13,3,Max,- -,1
13,4,Sergio,- -,1
13,5,Lance,- -,1
13,6,Alexander,- -,1
13,7,Carlos,- -,1
13,8,Lando,- -,1
13,9,Charles,- -,1
13,10,Pierre,- -,1
13,11,Sebastian,- -,1
13,12,Daniil,- -,1
13,13,Daniel,- -,1
13,14,Kimi,- -,1
13,15,Esteban,- -,1
13,16,Kevin,- -,1
13,17,Romain,- -,1
13,18,George,- -,1
13,19,Nicholas,- -,1
13,20,Antonio,- -,1
14,1,Lewis,LEADER,1
14,2,Valtteri,- -,1
14,3,Max,- -,1
14,4,Sergio,- -,1
14,5,Lance,- -,1
14,6,Alexander,- -,1
14,7,Carlos,- -,1
14,8,Lando,- -,1
14,9,Charles,- -,1
14,10,Pierre,- -,1
14,11,Sebastian,- -,1
14,12,Daniil,- -,1
14,13,Daniel,- -,1
14,14,Kimi,- -,1
14,15,Esteban,- -,1
14,16,Kevin,- -,1
14,17,Romain,- -,1
14,18,George,- -,1
14,19,Nicholas,- -,1
14,20,Antonio,- -,1
15,1,Lewis,LEADER,1
15,2,Valtteri,- -,1
15,3,Max,- -,1
15,4,Sergio,- -,1
15,5,Lance,- -,1
15,6,Alexander,- -,1
15,7,Carlos,- -,1
15,8,Lando,- -,1
15,9,Charles,- -,1
15,10,Pierre,- -,1
15,11,Sebastian,- -,1
15,12,Daniil,- -,1
15,13,Daniel,- -,1
15,14,Kimi,- -,1
15,15,Esteban,- -,1
15,16,Kevin,- -,1
15,17,Romain,- -,1
15,18,George,- -,1
15,19,Nicholas,- -,1
15,20,Antonio,- -,1
16,1,Lewis,LEADER,1
16,2,Valtteri,- -,1
16,3,Max,- -,1
16,4,Sergio,- -,1
16,5,Lance,- -,1
16,6,Alexander,- -,1
16,7,Carlos,- -,1
16,8,Lando,- -,1
16,9,Charles,- -,1
16,10,Pierre,- -,1
16,11,Sebastian,- -,1
16,12,Daniil,- -,1
16,13,Daniel,- -,1
16,14,Kimi,- -,1
16,15,Esteban,- -,1
16,16,Kevin,- -,1
16,17,Romain,- -,1
16,18,George,- -,1
16,19,Nicholas,- -,1
16,20,Antonio,- -,1
17,1,Lewis,LEADER,1
17,2,Valtteri,- -,1
17,3,Max,- -,1
17,4,Sergio,- -,1
17,5,Lance,- -,1
17,6,Alexander,- -,1
17,7,Carlos,- -,1
17,8,Lando,- -,1
17,9,Charles,- -,1
17,10,Pierre,- -,1
17,11,Sebastian,- -,1
17,12,Daniil,- -,1
17,13,Daniel,- -,1
17,14,Kimi,- -,1
17,15,Esteban,- -,1
17,16,Kevin,- -,1
17,17,Romain,- -,1
17,18,George,- -,1
17,19,Nicholas,- -,1
17,20,Antonio,- -,1
18,1,Lewis,LEADER,1
18,2,Valtteri,- -,1
18,3,Max,- -,1
18,4,Sergio,- -,1
18,5,Lance,- -,1
18,6,Alexander,- -,1
18,7,Carlos,- -,1
18,8,Lando,- -,1
18,9,Charles,- -,1
18,10,Pierre,- -,1
18,11,Sebastian,- -,1
18,12,Daniil,- -,1
18,13,Daniel,- -,1
18,14,Kimi,- -,1
18,15,Esteban,- -,1
18,16,Kevin,- -,1
18,17,Romain,- -,1
18,18,George,- -,1
18,19,Nicholas,- -,1
18,20,Antonio,- -,1
19,1,Lewis,LEADER,1
19,2,Valtteri,- -,1
19,3,Max,- -,1
19,4,Sergio,- -,1
19,5,Lance,- -,1
19,6,Alexander,- -,1
19,7,Carlos,- -,1
19,8,Lando,- -,1
19,9,Charles,- -,1
19,10,Pierre,- -,1
19,11,Sebastian,- -,1
19,12,Daniil,- -,1
19,13,Daniel,- -,1
19,14,Kimi,- -,1
19,15,Esteban,- -,1
19,16,Kevin,- -,1
19,17,Romain,- -,1
19,18,George,- -,1
19,19,Nicholas,- -,1
19,20,Antonio,- -,1
20,1,Lewis,LEADER,1
20,2,Valtteri,- -,1
20,3,Max,- -,1
20,4,Sergio,- -,1
20,5,Lance,- -,1
20,6,Alexander,- -,1
20,7,Carlos,- -,1
20,8,Lando,- -,1
20,9,Charles,- -,1
20,10,Pierre,- -,1
20,11,Sebastian,- -,1
20,12,Daniil,- -,1
20,13,Daniel,- -,1
20,14,Kimi,- -,1
20,15,Esteban,- -,1
20,16,Kevin,- -,1
20,17,Romain,- -,1
20,18,George,- -,1
20,19,Nicholas,- -,1
20,20,Antonio,- -,1
21,1,Lewis,LEADER,1
21,2,Valtteri,- -,1
21,3,Max,- -,1
21,4,Sergio,- -,1
21,5,Lance,- -,1
21,6,Alexander,- -,1
21,7,Carlos,- -,1
21,8,Lando,- -,1
21,9,Charles,- -,1
21,10,Pierre,- -,1
21,11,Sebastian,- -,1
21,12,Daniil,- -,1
21,13,Daniel,- -,1
21,14,Kimi,- -,1
21,15,Esteban,- -,1
21,16,Kevin,- -,1
21,17,Romain,- -,1
21,18,George,- -,1
21,19,Nicholas,- -,1
21,20,Antonio,- -,1
22,1,Lewis,LEADER,1
22,2,Valtteri,- -,1
22,3,Max,- -,1
22,4,Sergio,- -,1
22,5,Lance,- -,1
22,6,Alexander,- -,1
22,7,Carlos,- -,1
22,8,Lando,- -,1
22,9,Charles,- -,1
22,10,Pierre,- -,1
22,11,Sebastian,- -,1
22,12,Daniil,- -,1
22,13,Daniel,- -,1
22,14,Kimi,- -,1
22,15,Esteban,- -,1
22,16,Kevin,- -,1
22,17,Romain,- -,1
22,18,George,- -,1
22,19,Nicholas,- -,1
22,20,Antonio,- -,1
23,1,Lewis,LEADER,1
23,2,Valtteri,- -,1
23,3,Max,- -,1
23,4,Sergio,- -,1
23,5,Lance,- -,1
23,6,Alexander,- -,1
23,7,Carlos,- -,1
23,8,Lando,- -,1
23,9,Charles,- -,1
23,10,Pierre,- -,1
23,11,Sebastian,- -,1
23,12,Daniil,- -,1
23,13,Daniel,- -,1
23,14,Kimi,- -,1
23,15,Esteban,- -,1
23,16,Kevin,- -,1
23,17,Romain,- -,1
23,18,George,- -,1
23,19,Nicholas,- -,1
23,20,Antonio,- -,1
24,1,Lewis,LEADER,1
24,2,Valtteri,- -,1
24,3,Max,- -,1
24,4,Sergio,- -,1
24,5,Lance,- -,1
24,6,Alexander,- -,1
24,7,Carlos,- -,1
24,8,Lando,- -,1
24,9,Charles,- -,1
24,10,Pierre,- -,1
24,11,Sebastian,- -,1
24,12,Daniil,- -,1
