index,pos,driver,gap,time remaining
1,1,Lewis,- -,00:12:40
1,2,Max,- -,00:12:40
1,3,Valtteri,- -,00:12:40
1,4,Alexander,- -,00:12:40
1,5,Lando,- -,00:12:40
1,6,Daniel,- -,00:12:40
1,7,Esteban,- -,00:12:40
1,8,Sergio,- -,00:12:40
1,9,Charles,- -,00:12:40
1,10,Lance,- -,00:12:40
1,11,Pierre,- -,00:12:40
1,12,Carlos,- -,00:12:40
1,13,Sebastian,- -,00:12:40
1,14,Daniil,- -,00:12:40
1,15,Kimi,- -,00:12:40
1,16,Kevin,- -,00:12:40
1,17,Romain,- -,00:12:40
1,18,George,- -,00:12:40
1,19,Nicholas,- -,00:12:40
1,20,Antonio,- -,00:12:40
2,1,Lewis,- -,00:12:37
2,2,Max,- -,00:12:37
2,3,Valtteri,- -,00:12:37
2,4,Alexander,- -,00:12:37
2,5,Lando,- -,00:12:37
2,6,Daniel,- -,00:12:37
2,7,Esteban,- -,00:12:37
2,8,Sergio,- -,00:12:37
2,9,Charles,- -,00:12:37
2,10,Lance,- -,00:12:37
2,11,Pierre,- -,00:12:37
2,12,Carlos,- -,00:12:37
2,13,Sebastian,- -,00:12:37
2,14,Daniil,- -,00:12:37
2,15,Kimi,- -,00:12:37
2,16,Kevin,- -,00:12:37
2,17,Romain,- -,00:12:37
2,18,George,- -,00:12:37
2,19,Nicholas,- -,00:12:37
2,20,Antonio,- -,00:12:37
3,1,Lewis,- -,00:12:34
3,2,Max,- -,00:12:34
3,3,Valtteri,- -,00:12:34
3,4,Alexander,- -,00:12:34
3,5,Lando,- -,00:12:34
3,6,Daniel,- -,00:12:34
3,7,Esteban,- -,00:12:34
3,8,Sergio,- -,00:12:34
3,9,Charles,- -,00:12:34
3,10,Lance,- -,00:12:34
3,11,Pierre,- -,00:12:34
3,12,Carlos,- -,00:12:34
3,13,Sebastian,- -,00:12:34
3,14,Daniil,- -,00:12:34
3,15,Kimi,- -,00:12:34
3,16,Kevin,- -,00:12:34
3,17,Romain,- -,00:12:34
3,18,George,- -,00:12:34
3,19,Nicholas,- -,00:12:34
3,20,Antonio,- -,00:12:34
4,1,Lewis,- -,00:12:31
4,2,Max,- -,00:12:31
4,3,Valtteri,- -,00:12:31
4,4,Alexander,- -,00:12:31
4,5,Lando,- -,00:12:31
4,6,Daniel,- -,00:12:31
4,7,Esteban,- -,00:12:31
4,8,Sergio,- -,00:12:31
4,9,Charles,- -,00:12:31
4,10,Lance,- -,00:12:31
4,11,Pierre,- -,00:12:31
4,12,Carlos,- -,00:12:31
4,13,Sebastian,- -,00:12:31
4,14,Daniil,- -,00:12:31
4,15,Kimi,- -,00:12:31
4,16,Kevin,- -,00:12:31
4,17,Romain,- -,00:12:31
4,18,George,- -,00:12:31
4,19,Nicholas,- -,00:12:31
4,20,Antonio,- -,00:12:31
5,1,Lewis,- -,00:12:28
5,2,Max,- -,00:12:28
5,3,Valtteri,- -,00:12:28
5,4,Alexander,- -,00:12:28
5,5,Lando,- -,00:12:28
5,6,Daniel,- -,00:12:28
5,7,Esteban,- -,00:12:28
5,8,Sergio,- -,00:12:28
5,9,Charles,- -,00:12:28
5,10,Lance,- -,00:12:28
5,11,Pierre,- -,00:12:28
5,12,Carlos,- -,00:12:28
5,13,Sebastian,- -,00:12:28
5,14,Daniil,- -,00:12:28
5,15,Kimi,- -,00:12:28
5,16,Kevin,- -,00:12:28
5,17,Romain,- -,00:12:28
5,18,George,- -,00:12:28
5,19,Nicholas,- -,00:12:28
5,20,Antonio,- -,00:12:28
7,1,Lewis,- -,00:12:01
7,2,Valtteri,- -,00:12:01
7,3,Sergio,- -,00:12:01
7,4,Max,- -,00:12:01
7,5,Lance,- -,00:12:01
7,6,Alexander,- -,00:12:01
7,7,Carlos,- -,00:12:01
7,8,Lando,- -,00:12:01
7,9,Daniel,- -,00:12:01
7,10,Daniil,- -,00:12:01
7,11,Esteban,- -,00:12:01
7,12,Charles,- -,00:12:01
7,13,Pierre,- -,00:12:01
7,14,Sebastian,- -,00:12:01
7,15,Kimi,- -,00:12:01
7,16,Kevin,- -,00:12:01
7,17,Romain,- -,00:12:01
7,18,George,- -,00:12:01
7,19,Nicholas,- -,00:12:01
7,20,Antonio,- -,00:12:01
8,1,Lewis,- -,00:11:58
8,2,Valtteri,- -,00:11:58
8,3,Sergio,- -,00:11:58
8,4,Max,- -,00:11:58
8,5,Lance,- -,00:11:58
8,6,Alexander,- -,00:11:58
8,7,Carlos,- -,00:11:58
8,8,Lando,- -,00:11:58
8,9,Daniel,- -,00:11:58
8,10,Daniil,- -,00:11:58
8,11,Esteban,- -,00:11:58
8,12,Charles,- -,00:11:58
8,13,Pierre,- -,00:11:58
8,14,Sebastian,- -,00:11:58
8,15,Kimi,- -,00:11:58
