overtaker,overtaken,date
And,Che,1981
And,Jar,1981
And,Man,1981
And,Man,1981
And,Man,1981
And,Dea,1981
And,Dea,1981
And,Sto,1981
And,Dec,1981
And,Dec,1981
And,Bor,1981
And,Pir,1981
And,Dal,1981
Jar,Wat,1981
Jar,Sur,1981
Jar,Sur,1981
Jar,Ros,1981
Jar,Laf,1981
Jar,Laf,1981
Jar,Gia,1981
Jar,Gia,1981
Jar,Che,1981
Jar,And,1981
Jar,And,1981
Jar,Man,1981
Jar,Reb,1981
Jar,Reb,1981
Jar,Pro,1981
Jar,Dec,1981
Man,Wat,1981
Man,Wat,1981
Man,Sur,1981
Man,Ros,1981
Man,Ros,1981
Man,Reu,1981
Man,Piq,1981
Man,Piq,1981
Man,Piq,1981
Man,Laf,1981
Man,Gia,1981
Man,Arn,1981
Man,And,1981
Man,And,1981
Man,And,1981
Man,Jar,1981
Man,Reb,1981
Man,Reb,1981
Man,Vil,1981
Man,Vil,1981
Man,Dec,1981
Man,Pat,1981
Man,Pat,1981
Man,Sal,1981
Man,Sal,1981
Man,Pir,1981
Dea,Wat,1981
Dea,Tam,1981
Dea,Tam,1981
Dea,Tam,1981
Dea,Sur,1981
Dea,Ser,1981
Dea,Ros,1981
Dea,Laf,1981
Dea,Gia,1981
Dea,Gia,1981
Dea,Gia,1981
Dea,Gia,1981
Dea,Gia,1981
Dea,Che,1981
Dea,And,1981
Dea,And,1981
Dea,And,1981
Dea,And,1981
Dea,And,1981
Dea,Jar,1981
Dea,Reb,1981
Dea,Vil,1981
Dea,Vil,1981
Dea,Sto,1981
Dea,Zun,1981
Dea,Dec,1981
Dea,Dec,1981
Dea,Pat,1981
Dea,Pat,1981
Dea,Pat,1981
Dea,Pat,1981
Dea,Pat,1981
Dea,Pir,1981
Dea,Pir,1981
Dea,Pir,1981
Dea,Pir,1981
Dea,Dal,1981
Dea,Dal,1981
Reb,Tam,1981
Reb,Tam,1981
Reb,Tam,1981
Reb,Sur,1981
Reb,Sur,1981
Reb,Ser,1981
Reb,Ros,1981
Reb,Ros,1981
Reb,Reu,1981
Reb,Laf,1981
Reb,Jon,1981
Reb,Jab,1981
Reb,Gia,1981
Reb,Gia,1981
Reb,Gia,1981
Reb,Gia,1981
Reb,Che,1981
Reb,Che,1981
Reb,Che,1981
Reb,Che,1981
Reb,Arn,1981
Reb,Arn,1981
Reb,Arn,1981
Reb,And,1981
Reb,And,1981
Reb,And,1981
Reb,Man,1981
Reb,Dea,1981
Reb,Dea,1981
Reb,Dea,1981
Reb,Pro,1981
Reb,Dec,1981
Reb,Dec,1981
Reb,Dec,1981
Reb,Pat,1981
Reb,Pat,1981
Reb,Pat,1981
Reb,Bor,1981
Reb,Pir,1981
Reb,Pir,1981
Reb,Pir,1981
Reb,Pir,1981
Reb,Alb,1981
Pro,Wat,1981
Pro,Tam,1981
Pro,Sur,1981
Pro,Ros,1981
Pro,Reu,1981
Pro,Piq,1981
Pro,Laf,1981
Pro,Jon,1981
Pro,Jon,1981
Pro,Jon,1981
Pro,Arn,1981
Pro,And,1981
Pro,Man,1981
Pro,Vil,1981
Pro,Pat,1981
Vil,Wat,1981
Vil,Wat,1981
Vil,Reu,1981
Vil,Piq,1981
Vil,Laf,1981
Vil,Jon,1981
Vil,Jon,1981
Vil,Gia,1981
Vil,Arn,1981
Vil,Man,1981
Vil,Dea,1981
Vil,Pro,1981
Vil,Sto,1981
Vil,Zun,1981
Vil,Zun,1981
Vil,Dec,1981
Vil,Dec,1981
Vil,Sal,1981
Vil,Bor,1981
Sto,Sur,1981
Sto,Sur,1981
Sto,Zun,1981
Sto,Sal,1981
Sto,Sal,1981
Sto,Bor,1981
Sto,Alb,1981
Zun,Laf,1981
Dec,Wat,1981
Dec,Wat,1981
Dec,Tam,1981
Dec,Tam,1981
Dec,Sur,1981
Dec,Ros,1981
Dec,Reu,1981
Dec,Gia,1981
Dec,Gia,1981
Dec,Che,1981
Dec,Arn,1981
Dec,And,1981
Dec,And,1981
Dec,And,1981
Dec,And,1981
Dec,Jar,1981
Dec,Man,1981
Dec,Man,1981
Dec,Man,1981
Dec,Dea,1981
Dec,Dea,1981
Dec,Dea,1981
Dec,Dea,1981
Dec,Vil,1981
Dec,Pat,1981
Dec,Sal,1981
Dec,Bor,1981
Dec,Pir,1981
Dec,Alb,1981
Dec,Dal,1981
Pat,Tam,1981
Pat,Tam,1981
Pat,Sur,1981
Pat,Ros,1981
Pat,Ros,1981
Pat,Reu,1981
Pat,Laf,1981
Pat,Jon,1981
Pat,Gia,1981
Pat,Che,1981
Pat,And,1981
Pat,And,1981
Pat,And,1981
Pat,Jar,1981
Pat,Dea,1981
Pat,Dea,1981
Pat,Dea,1981
Pat,Dea,1981
Pat,Reb,1981
Pat,Reb,1981
Pat,Reb,1981
Pat,Vil,1981
Pat,Vil,1981
Pat,Pir,1981
Pat,Pir,1981
Pat,Pir,1981
Pat,Dal,1981
Pat,Dal,1981
Sal,Tam,1981
Sal,Sur,1981
Sal,Ros,1981
Sal,Ros,1981
Sal,Gia,1981
Sal,Che,1981
Sal,Jar,1981
Sal,Man,1981
Sal,Vil,1981
Sal,Sto,1981
Sal,Bor,1981
Sal,Pir,1981
Sal,Alb,1981
Sal,Alb,1981
Bor,Wat,1981
Bor,Tam,1981
Bor,Sur,1981
Bor,Sur,1981
Bor,Sur,1981
Bor,Ros,1981
Bor,Jar,1981
Bor,Jar,1981
Bor,Jar,1981
Bor,Sto,1981
Bor,Dec,1981
Bor,Sal,1981
Bor,Alb,1981
Gue,Dec,1981
Pir,Wat,1981
Pir,Sur,1981
