overtaker,overtaken,overtaketimes,date
Reb,Pat,3,1981
Reb,Bor,1,1981
Reb,Pir,4,1981
Reb,Alb,1,1981
Pro,Wat,1,1981
Pro,Tam,1,1981
Pro,Sur,1,1981
Pro,Ros,1,1981
Pro,Reu,1,1981
Pro,Piq,1,1981
Pro,Laf,1,1981
Pro,Jon,3,1981
Pro,Arn,1,1981
Pro,And,1,1981
Pro,Man,1,1981
Pro,Vil,1,1981
Pro,Pat,1,1981
Vil,Wat,2,1981
Vil,Reu,1,1981
Vil,Piq,1,1981
Vil,Laf,1,1981
Vil,Jon,2,1981
Vil,Gia,1,1981
Vil,Arn,1,1981
Vil,Man,1,1981
Vil,Dea,1,1981
Vil,Pro,1,1981
Vil,Sto,1,1981
Vil,Zun,2,1981
Vil,Dec,2,1981
Vil,Sal,1,1981
Vil,Bor,1,1981
Sto,Sur,2,1981
Sto,Zun,1,1981
Sto,Sal,2,1981
Sto,Bor,1,1981
Sto,Alb,1,1981
Zun,Laf,1,1981
Dec,Wat,2,1981
Dec,Tam,2,1981
Dec,Sur,1,1981
Dec,Ros,1,1981
Dec,Reu,1,1981
Dec,Gia,2,1981
Dec,Che,1,1981
Dec,Arn,1,1981
Dec,And,4,1981
Dec,Jar,1,1981
Dec,Man,3,1981
Dec,Dea,4,1981
Dec,Vil,1,1981
Dec,Pat,1,1981
Dec,Sal,1,1981
Dec,Bor,1,1981
Dec,Pir,1,1981
Dec,Alb,1,1981
Dec,Dal,1,1981
Pat,Tam,2,1981
Pat,Sur,1,1981
Pat,Ros,2,1981
Pat,Reu,1,1981
Pat,Laf,1,1981
Pat,Jon,1,1981
Pat,Gia,1,1981
Pat,Che,1,1981
Pat,And,3,1981
Pat,Jar,1,1981
Pat,Dea,4,1981
Pat,Reb,3,1981
Pat,Vil,2,1981
Pat,Pir,3,1981
Pat,Dal,2,1981
Sal,Tam,1,1981
Sal,Sur,1,1981
Sal,Ros,2,1981
Sal,Gia,1,1981
Sal,Che,1,1981
Sal,Jar,1,1981
Sal,Man,1,1981
Sal,Vil,1,1981
Sal,Sto,1,1981
Sal,Bor,1,1981
Sal,Pir,1,1981
Sal,Alb,2,1981
Bor,Wat,1,1981
Bor,Tam,1,1981
Bor,Sur,3,1981
Bor,Ros,1,1981
Bor,Jar,3,1981
Bor,Sto,1,1981
Bor,Dec,1,1981
Bor,Sal,1,1981
Bor,Alb,1,1981
Gue,Dec,1,1981
Pir,Wat,1,1981
Pir,Sur,2,1981
Pir,Ros,1,1981
Pir,Piq,3,1981
Pir,Laf,1,1981
Pir,Gia,3,1981
Pir,Che,1,1981
Pir,And,1,1981
Pir,Man,1,1981
Pir,Dea,2,1981
Pir,Reb,2,1981
Pir,Pro,1,1981
Pir,Dec,1,1981
Pir,Pat,3,1981
Pir,Alb,1,1981
Pir,Dal,2,1981
Alb,Wat,1,1981
Alb,Sur,1,1981
Alb,Ros,2,1981
Alb,Jon,1,1981
Alb,Gia,3,1981
Alb,Che,1,1981
Alb,Sto,1,1981
Alb,Sal,1,1981
Alb,Pir,1,1981
Dal,Wat,1,1981
Dal,Ros,1,1981
Dal,Reu,1,1981
Dal,And,1,1981
Dal,Man,2,1981
Dal,Dea,3,1981
Dal,Dec,2,1981
Dal,Pat,2,1981
fittipaldi,alboreto,2,1993
fittipaldi,suzuki,3,1993
fittipaldi,barbazza,5,1993
fittipaldi,baddoer,1,1993
fittipaldi,warwick,3,1993
fittipaldi,decesaris,1,1993
fittipaldi,boutsen,2,1993
fittipaldi,badoer,4,1993
fittipaldi,alliot,3,1993
fittipaldi,herbert,1,1993
fittipaldi,barrichello,1,1993
fittipaldi,katayama,1,1993
fittipaldi,outsen,1,1993
fittipaldi,lehto,1,1993
fittipaldi,comas,2,1993
prost,alboreto,1,1993
prost,suzuki,2,1993
prost,barbazza,1,1993
prost,warwick,2,1993
prost,boutsen,1,1993
prost,alliot,2,1993
prost,herbert,2,1993
prost,barrichello,2,1993
prost,katayama,2,1993
prost,lehto,1,1993
prost,comas,2,1993
prost,schumacher,2,1993
prost,senna,5,1993
prost,hill,3,1993
prost,zanardi,2,1993
prost,fittipaldi,2,1993
prost,brundle,2,1993
prost,patrese,1,1993
prost,blundell,2,1993
prost,wendlinger,1,1993
prost,martini,1,1993
schumacher,suzuki,1,1993
schumacher,warwick,2,1993
schumacher,alliot,1,1993
schumacher,herbert,2,1993
schumacher,barrichello,1,1993
schumacher,lehto,1,1993
schumacher,senna,3,1993
schumacher,brundle,1,1993
schumacher,patrese,3,1993
schumacher,blundell,2,1993
schumacher,martini,1,1993
schumacher,alesi,4,1993
schumacher,berger,1,1993
schumacher,prost,1,1993
schumacher,irvine,1,1993
brundle,alboreto,2,1993
brundle,suzuki,1,1993
brundle,warwick,1,1993
brundle,decesaris,1,1993
brundle,boutsen,1,1993
brundle,alliot,2,1993
brundle,herbert,2,1993
brundle,katayama,1,1993
brundle,zanardi,2,1993
brundle,fittipaldi,1,1993
brundle,blundell,1,1993
brundle,wendlinger,2,1993
brundle,martini,3,1993
brundle,berger,1,1993
brundle,lamy,1,1993
lehto,suzuki,1,1993
lehto,warwick,2,1993
lehto,boutsen,1,1993
lehto,alliot,3,1993
lehto,comas,1,1993
lehto,fittipaldi,1,1993
lehto,blundell,1,1993
lehto,wendlinger,1,1993
lehto,martini,1,1993
lehto,alesi,1,1993
warwick,alboreto,1,1993
warwick,suzuki,1,1993
warwick,barbazza,2,1993
warwick,decesaris,1,1993
warwick,badoer,1,1993
warwick,herbert,1,1993
warwick,zanardi,1,1993
warwick,fittipaldi,1,1993
warwick,blundell,1,1993
warwick,alesi,1,1993
warwick,berger,1,1993
comas,alboreto,1,1993
comas,suzuki,2,1993
comas,warwick,1,1993
comas,decesaris,1,1993
comas,boutsen,1,1993
comas,badoer,4,1993
comas,alliot,1,1993
comas,katayama,1,1993
comas,wendlinger,1,1993
comas,martini,2,1993
comas,gounon,1,1993
hill,suzuki,1,1993
hill,warwick,2,1993
hill,decesaris,1,1993
hill,herbert,2,1993
hill,barrichello,1,1993
hill,lehto,1,1993
hill,schumacher,1,1993
hill,senna,1,1993
hill,brundle,2,1993
hill,patrese,2,1993
hill,blundell,1,1993
hill,wendlinger,1,1993
hill,alesi,1,1993
hill,berger,3,1993
hill,irvine,1,1993
hill,lamy,1,1993
hill,hakkinen,1,1993
wendlinger,alboreto,1,1993
wendlinger,suzuki,1,1993
wendlinger,badoer,1,1993
wendlinger,herbert,1,1993
wendlinger,comas,1,1993
wendlinger,fittipaldi,1,1993
wendlinger,patrese,1,1993
wendlinger,blundell,1,1993
wendlinger,martini,1,1993
wendlinger,alesi,1,1993
wendlinger,lamy,1,1993
suzuki,barbazza,1,1993
suzuki,warwick,1,1993
suzuki,decesaris,1,1993
suzuki,badoer,1,1993
suzuki,herbert,1,1993
suzuki,katayama,1,1993
suzuki,lehto,2,1993
suzuki,comas,2,1993
suzuki,blundell,1,1993
suzuki,irvine,1,1993
zanardi,suzuki,1,1993
zanardi,decesaris,1,1993
zanardi,boutsen,2,1993
zanardi,alliot,3,1993
zanardi,herbert,3,1993
zanardi,barrichello,1,1993
zanardi,katayama,2,1993
zanardi,blundell,1,1993
zanardi,martini,1,1993
alesi,boutsen,1,1993
alesi,alliot,2,1993
alesi,herbert,1,1993
alesi,barrichello,2,1993
alesi,katayama,1,1993
alesi,fittipaldi,1,1993
alesi,brundle,1,1993
alesi,wendlinger,3,1993
alesi,martini,2,1993
alesi,berger,3,1993
decesaris,alboreto,1,1993
decesaris,barbazza,1,1993
decesaris,badoer,1,1993
decesaris,katayama,3,1993
decesaris,fittipaldi,1,1993
badoer,alboreto,1,1993
badoer,boutsen,1,1993
badoer,katayama,1,1993
badoer,comas,1,1993
alliot,barbazza,1,1993
alliot,warwick,1,1993
alliot,boutsen,1,1993
alliot,zanardi,3,1993
alliot,martini,1,1993
blundell,warwick,1,1993
blundell,decesaris,1,1993
blundell,herbert,1,1993
blundell,barrichello,1,1993
blundell,zanardi,1,1993
blundell,alesi,1,1993
blundell,berger,3,1993
senna,alboreto,1,1993
senna,boutsen,1,1993
senna,badoer,1,1993
senna,alliot,1,1993
senna,herbert,2,1993
senna,barrichello,1,1993
senna,katayama,1,1993
senna,lehto,1,1993
senna,schumacher,1,1993
senna,hill,2,1993
senna,zanardi,1,1993
senna,fittipaldi,2,1993
senna,patrese,2,1993
senna,wendlinger,1,1993
senna,martini,1,1993
senna,berger,2,1993
senna,prost,2,1993
scumacher,zanardi,1,1993
boutsen,barbazza,1,1993
boutsen,decesaris,2,1993
boutsen,badoer,2,1993
boutsen,fittipaldi,1,1993
boutsen,blundell,1,1993
barbazza,warwick,2,1993
barbazza,decesaris,1,1993
barbazza,badoer,1,1993
barbazza,alliot,1,1993
barbazza,katayama,1,1993
barbazza,zanardi,1,1993
barbazza,fittipaldi,3,1993
herbert,suzuki,1,1993
herbert,barbazza,1,1993
herbert,warwick,2,1993
herbert,boutsen,1,1993
herbert,lehto,1,1993
herbert,patrese,1,1993
herbert,blundell,1,1993
barrichello,decesaris,1,1993
barrichello,boutsen,1,1993
barrichello,badoer,1,1993
barrichello,alliot,2,1993
barrichello,katayama,1,1993
barrichello,lehto,1,1993
barrichello,hill,1,1993
barrichello,fittipaldi,1,1993
barrichello,patrese,1,1993
barrichello,alesi,2,1993
barrichello,berger,2,1993
patrese,barbazza,2,1993
patrese,warwick,1,1993
patrese,decesaris,1,1993
patrese,alliot,1,1993
patrese,barrichello,2,1993
patrese,lehto,1,1993
patrese,comas,1,1993
patrese,brundle,3,1993
patrese,blundell,1,1993
patrese,berger,1,1993
patrese,lamy,1,1993
patrese,andretti,1,1993
katayama,alboreto,1,1993
katayama,barbazza,1,1993
katayama,decesaris,1,1993
katayama,gounon,1,1993
berger,suzuki,2,1993
berger,warwick,1,1993
berger,decesaris,1,1993
berger,badoer,1,1993
berger,alliot,1,1993
berger,barrichello,1,1993
berger,katayama,1,1993
berger,comas,1,1993
berger,fittipaldi,1,1993
berger,brundle,2,1993
berger,blundell,3,1993
berger,martini,2,1993
berger,alesi,1,1993
andretti,barbazza,1,1993
andretti,warwick,2,1993
andretti,decesaris,1,1993
andretti,badoer,3,1993
andretti,alliot,2,1993
andretti,barrichello,1,1993
andretti,katayama,2,1993
andretti,lehto,2,1993
andretti,comas,1,1993
andretti,fittipaldi,3,1993
andretti,patrese,2,1993
andretti,wendlinger,1,1993
andretti,martini,1,1993
andretti,alesi,1,1993
andretti,berger,1,1993
andretti,lamy,2,1993
martini,alboreto,1,1993
martini,alliot,1,1993
martini,katayama,1,1993
martini,comas,1,1993
lamy,badoer,1,1993
lamy,herbert,1,1993
lamy,martini,1,1993
tsuzuki,comas,1,1993
hakkinen,hill,1,1993
hakkinen,brundle,1,1993
hakkinen,berger,1,1993
irvine,gounon,1,1993
Katayama,Comas,4,1994
Katayama,Bernard,4,1994
Katayama,Hakkinen,2,1994
Katayama,Herbert,1,1994
Katayama,Wend linger,1,1994
Katayama,Barrichello,1,1994
Katayama,Berger,1,1994
Katayama,Adams,1,1994
Katayama,Zanardi,1,1994
Katayama,Irvine,2,1994
Katayama,Morbidelli,3,1994
Katayama,Panis,2,1994
Katayama,Dalmas,1,1994
Katayama,Beretta,1,1994
Katayama,Frentzen,1,1994
Katayama,Fittipaldi,1,1994
Katayama,Gounon,2,1994
Katayama,De Cesaris,1,1994
Katayama,Martini,2,1994
Katayama,Brabham,1,1994
Katayama,Alboreto,4,1994
Blundell,Brundle,1,1994
Blundell,Lehto,1,1994
Blundell,Herbert,2,1994
Blundell,Salo,1,1994
Blundell,Barrichello,1,1994
Blundell,Panis,3,1994
Blundell,Dalmas,1,1994
